RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
PGD.HM,PGD,HOSE,Petrovietnam Low Pressure Gas Distribution JSC,Utilities,Gas Utilities,29500
PGI.HM,PGI,HOSE,Petrolimex Insurance Corp,Financial,Insurance,20550
PGN.HN,PGN,HNX,Plastic Additives JSC,Materials,Chemicals,15100
PGS.HN,PGS,HNX,Southern Gas Trading JSC,Energy,"Oil, Gas & Consumable Fuels",18700
PGT.HN,PGT,HNX,PGT Holdings JSC,Energy,"Oil, Gas & Consumable Fuels",4400
PGV.HNO,PGV,UPCOM,Power Generation Joint Stock Corporation 3,Utilities,Electric Utilities,17700
PHC.HM,PHC,HOSE,Phuc Hung Holdings Construction JSC,Industrials,Construction & Engineering,17800
PHH.HNO,PHH,UPCOM,Hongha Vietnam JSC,Industrials,Construction & Engineering,12000
PHN.HN,PHN,HNX,Hanoi Battery JSC,Industrials,Electrical Equipment,32500
PHP.HN,PHP,HNX,Port of Hai Phong JSC,Industrials,Transportation Infrastructure,23900
PHR.HM,PHR,HOSE,Phuoc Hoa Rubber JSC,Materials,Chemicals,57000
PIA.HN,PIA,HNX,Petrolimex Information Technology and Telecommunication JSC,Information Technology,Software,31500
PIC.HN,PIC,HNX,PC3 Investment JSC,Industrials,Construction & Engineering,10300
PID.HNO,PID,UPCOM,Petroleum Interior Decoration JSC,Consumer Discretionary,Household Durables,1800
PIT.HM,PIT,HOSE,Petrolimex International Trading JSC,Industrials,Trading Companies & Distributors,5950
PIV.HNO,PIV,UPCOM,PIV JSC,Services,Real Estate Operations,1500
PJC.HN,PJC,HNX,Petrolimex Ha Noi Transportation and Trading JSC,Energy,"Oil, Gas & Consumable Fuels",19800
PJS.HNO,PJS,UPCOM,Phu Hoa Tan Water Supply JSC,Utilities,Water Utilities,13500
PJT.HM,PJT,HOSE,Petrolimex Joint Stock Tanker Co,Energy,"Oil, Gas & Consumable Fuels",12500
PKR.HNO,PKR,UPCOM,Phu Khanh Railway JSC,,,7100
PLA.HNO,PLA,UPCOM,Petroleum Logistic Service and Investment JSC,,,6400
PLC.HN,PLC,HNX,Petrolimex Petrochemical Corp JSC,Materials,Chemicals,27200
PLP.HM,PLP,HOSE,Pha Le Plastics Manufacturing and Technology JSC,Materials,Chemicals,10000
PLX.HM,PLX,HOSE,Vietnam National Petroleum Group,Energy,"Oil, Gas & Consumable Fuels",56500
PMB.HN,PMB,HNX,North PetroVietnam Fertilizer & Chemicals JSC,Materials,Chemicals,9800
